origin_zone_id,total_volume,number_of_destinations,avg_distance_mile,avg_travel_time_min,google_maps_link
1,860,22,7.23826,57.2661,"https://www.google.com/maps/search/?api=1&query=33.329291,-111.958574"
2,390,18,6.17256,57.4922,"https://www.google.com/maps/search/?api=1&query=33.329354,-111.922345"
3,270,17,6.13481,44.534,"https://www.google.com/maps/search/?api=1&query=33.327312,-111.948389"
4,1110,22,7.5145,15.5136,"https://www.google.com/maps/search/?api=1&query=33.418651,-111.968541"
5,610,21,4.30689,8.32139,"https://www.google.com/maps/search/?api=1&query=33.418289,-111.932660"
6,740,22,4.88568,45.3629,"https://www.google.com/maps/search/?api=1&query=33.385992,-111.971473"
7,1190,22,5.09034,62.0874,"https://www.google.com/maps/search/?api=1&query=33.382844,-111.964630"
8,1620,22,6.18481,47.3958,"https://www.google.com/maps/search/?api=1&query=33.400843,-111.973275"
9,1540,22,4.98351,66.1216,"https://www.google.com/maps/search/?api=1&query=33.384501,-111.888688"
10,4420,22,5.00468,271.886,"https://www.google.com/maps/search/?api=1&query=33.412632,-111.936230"
11,2180,22,4.13885,79.1372,"https://www.google.com/maps/search/?api=1&query=33.381985,-111.935542"
12,1370,22,3.99737,56.567,"https://www.google.com/maps/search/?api=1&query=33.389228,-111.935024"
13,1440,22,3.55194,51.4257,"https://www.google.com/maps/search/?api=1&query=33.370970,-111.937295"
14,1400,22,3.49986,54.3691,"https://www.google.com/maps/search/?api=1&query=33.371174,-111.919730"
15,2120,22,4.495,72.3275,"https://www.google.com/maps/search/?api=1&query=33.371047,-111.902345"
16,2560,22,4.19191,83.5837,"https://www.google.com/maps/search/?api=1&query=33.356461,-111.919859"
17,2320,22,6.83116,64.8486,"https://www.google.com/maps/search/?api=1&query=33.356491,-111.902798"
18,480,19,5.15063,53.8281,"https://www.google.com/maps/search/?api=1&query=33.341870,-111.950374"
19,1270,21,4.50394,53.2435,"https://www.google.com/maps/search/?api=1&query=33.355130,-111.957557"
20,1840,21,4.77038,49.2268,"https://www.google.com/maps/search/?api=1&query=33.356452,-111.937176"
21,1090,20,5.97339,43.1738,"https://www.google.com/maps/search/?api=1&query=33.341950,-111.902393"
22,2420,22,4.49603,43.479,"https://www.google.com/maps/search/?api=1&query=33.371702,-111.952951"
23,1440,21,6.19562,11.158,"https://www.google.com/maps/search/?api=1&query=33.433453,-111.911367"
24,770,19,6.0939,10.9926,"https://www.google.com/maps/search/?api=1&query=33.428841,-111.934920"
25,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.417094,-111.886814"
26,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.385525,-111.918062"
27,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.385844,-111.900449"
28,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.341917,-111.919809"
29,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.455345,-111.934954"
30,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.427410,-111.886838"
31,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.400180,-111.934906"
32,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.418997,-111.916175"
33,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.411144,-111.917686"
34,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.418429,-111.900249"
35,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.411132,-111.900266"
36,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.396579,-111.952084"
37,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.382006,-111.952668"
38,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.442681,-111.942408"
39,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.429218,-111.952519"
40,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.416665,-111.922074"
41,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.414665,-111.952179"
42,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.400242,-111.900211"
43,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.394347,-111.886762"
44,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=33.400248,-111.917711"
